ablation,dataset,method,n_bins,vocab_size,condition,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A2,sleep_edf,mu_law,512,4096,proportional_V,2024,0.6720743290319491,0.10070438566620427,0.5873447680152205,0.7583024118104749,0.482958025328986,0.3876956488282528,2026-03-12T07:24:37.993459
A2,sleep_edf,mu_law,512,513,fixed_V,42,0.5995687081029685,0.07831529894039539,0.5235173160840836,0.6544329263356318,0.3802989816805037,0.2693927277298108,2026-03-12T07:28:45.562063
A2,sleep_edf,mu_law,512,513,fixed_V,123,0.6106591826378653,0.09040442235803495,0.5285902006565764,0.679114822953381,0.37868085331812984,0.28040241703612134,2026-03-12T07:28:45.570059
A2,sleep_edf,mu_law,512,513,fixed_V,456,0.6428737041361047,0.05017242785275561,0.5992700045462211,0.6864774037259882,0.3775277816359266,0.3112142644842253,2026-03-12T07:28:45.572060
A2,sleep_edf,mu_law,512,513,fixed_V,789,0.5666055981119887,0.09631850276556057,0.48214768642654315,0.6510459460627567,0.35157497300216733,0.2507263165604943,2026-03-12T07:28:45.573560
A2,sleep_edf,mu_law,512,513,fixed_V,2024,0.5739754597720651,0.10031586352583988,0.4874673598450442,0.6604835596990861,0.367385187997351,0.2533136552068841,2026-03-12T07:28:45.574560
A2,bci_iv_2a,mu_law,256,1024,proportional_V,42,0.2604166666666667,0.004252586358998581,0.2552083333333333,0.265625,0.26041666666666663,0.013888888888888876,2026-03-21T22:41:56.393259
A2,bci_iv_2a,mu_law,256,1024,proportional_V,123,0.25636574074074076,0.004092053131866606,0.2534722222222222,0.2621527777777778,0.25636574074074076,0.008487654320987673,2026-03-21T22:41:56.394255
A2,bci_iv_2a,mu_law,256,1024,proportional_V,456,0.2546296296296296,0.006547285010986554,0.25,0.2638888888888889,0.2546296296296296,0.00617283950617283,2026-03-21T22:41:56.395255
A2,bci_iv_2a,mu_law,256,1024,proportional_V,789,0.2569444444444444,0.004252586358998581,0.2517361111111111,0.2621527777777778,0.2569444444444444,0.009259259259259264,2026-03-21T22:41:56.395756
A2,bci_iv_2a,mu_law,256,1024,proportional_V,2024,0.2569444444444445,0.006178864729184791,0.2517361111111111,0.265625,0.2569444444444445,0.009259259259259264,2026-03-21T22:41:56.396755
A2,bci_iv_2a,mu_law,512,1024,proportional_V,42,0.24131944444444442,0.011251285934735854,0.2309027777777778,0.2569444444444444,0.24131944444444442,-0.011574074074074106,2026-03-21T22:44:54.495960
A2,bci_iv_2a,mu_law,512,1024,proportional_V,123,0.23958333333333334,0.006178864729184778,0.2309027777777778,0.24479166666666666,0.23958333333333334,-0.013888888888888914,2026-03-21T22:44:54.496960
A2,bci_iv_2a,mu_law,512,1024,proportional_V,456,0.24247685185185186,0.008184106263733186,0.2309027777777778,0.24826388888888892,0.24247685185185186,-0.010030864197530928,2026-03-21T22:44:54.497959
A2,bci_iv_2a,mu_law,512,1024,proportional_V,789,0.2476851851851852,0.015024021974244402,0.2309027777777778,0.2673611111111111,0.2476851851851852,-0.0030864197530864335,2026-03-21T22:44:54.498459
A2,bci_iv_2a,mu_law,512,1024,proportional_V,2024,0.23958333333333334,0.005670115145331433,0.23263888888888892,0.2465277777777778,0.23958333333333334,-0.01388888888888884,2026-03-21T22:44:54.499460
A2,bci_iv_2a,mu_law,512,1024,proportional_V,42,0.24189814814814814,0.009648918981789961,0.23263888888888892,0.2552083333333333,0.24189814814814814,-0.01080246913580248,2026-03-21T22:44:55.259750
A2,bci_iv_2a,mu_law,512,1024,proportional_V,123,0.24247685185185186,0.007274192760403083,0.23263888888888892,0.25,0.24247685185185186,-0.010030864197530853,2026-03-21T22:44:55.260750
A2,bci_iv_2a,mu_law,512,1024,proportional_V,456,0.24479166666666666,0.008852464433320797,0.23611111111111108,0.2569444444444444,0.24479166666666666,-0.0069444444444444935,2026-03-21T22:44:55.261749
A2,bci_iv_2a,mu_law,512,1024,proportional_V,789,0.2378472222222222,0.005670115145331422,0.2309027777777778,0.24479166666666666,0.2378472222222222,-0.01620370370370372,2026-03-21T22:44:55.262250
A2,bci_iv_2a,mu_law,512,1024,proportional_V,2024,0.23842592592592593,0.007807139793537059,0.22743055555555555,0.24479166666666666,0.23842592592592596,-0.015432098765432093,2026-03-21T22:44:55.263250
A2,sleep_edf,mu_law,256,1024,proportional_V,42,0.6608044536325501,0.08586079755645491,0.5961051148852942,0.7344753747323342,0.5329402130763672,0.3995536965403235,2026-03-21T23:05:35.572299
A2,sleep_edf,mu_law,256,1024,proportional_V,123,0.6613643007512217,0.0874061520036911,0.5384905660377358,0.7344753747323342,0.5363339383097153,0.4034231501821239,2026-03-21T23:05:35.573800
A2,sleep_edf,mu_law,256,1024,proportional_V,456,0.6620467521756831,0.09416393455729741,0.530188679245283,0.7441113490364025,0.5273276595091017,0.40843224834373776,2026-03-21T23:05:35.574799
A2,sleep_edf,mu_law,256,1024,proportional_V,789,0.6607491866733991,0.08780162878377772,0.5373584905660377,0.7344753747323342,0.5345536975158184,0.4019332535379497,2026-03-21T23:05:35.575800
A2,sleep_edf,mu_law,256,1024,proportional_V,2024,0.6034482255117044,0.15343779482213352,0.3879245283018868,0.7330478229835832,0.5015428107256651,0.35369909162885654,2026-03-21T23:05:35.576799
A2,sleep_edf,mu_law,512,1024,proportional_V,42,0.6610794168341151,0.08380176291274992,0.5426415094339623,0.723965763195435,0.521090809311101,0.406851523551349,2026-03-21T23:06:34.482110
A2,sleep_edf,mu_law,512,1024,proportional_V,123,0.6601354725591859,0.08282127008955303,0.5430188679245282,0.7200427960057061,0.515813971691076,0.4016358659584309,2026-03-21T23:06:34.484613
A2,sleep_edf,mu_law,512,1024,proportional_V,456,0.6643719328487004,0.08305471400814071,0.5471698113207547,0.7296718972895863,0.522565548665744,0.40939983721189765,2026-03-21T23:06:34.485114
A2,sleep_edf,mu_law,512,1024,proportional_V,789,0.6713005451878775,0.08234597976951748,0.5554716981132075,0.739657631954351,0.5033185056760576,0.4068012935608154,2026-03-21T23:06:34.486114
A2,sleep_edf,mu_law,512,1024,proportional_V,2024,0.6560464499357009,0.08632911694038195,0.5339622641509434,0.7179029957203994,0.5093842588230287,0.4002793039111788,2026-03-21T23:06:34.487113
