token_id,merge_level,length_base,duration_ms,dominant_freq_hz,spectral_entropy,hjorth_activity,hjorth_mobility,hjorth_complexity,band_delta,band_theta,band_alpha,band_beta,band_gamma
504,441,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,442,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,445,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,448,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,450,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,451,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,452,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,453,4,31.25,33.26706351930351,1.251629167387823,0.00390625,1.632993161855452,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
517,454,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,456,5,39.0625,29.404207755828914,0.9182958340544897,0.00375,1.4433756729740645,0.4618802153517006,0.0,0.0,0.0,0.0,0.33333333333333326
521,458,32,250.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,459,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,461,4,31.25,33.26706351930351,1.251629167387823,0.00390625,1.632993161855452,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
527,464,5,39.0625,22.053155816871683,0.9182958340544897,0.0024999999999999996,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333326
528,465,4,31.25,11.58210487593933,0.4854607607459134,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.8947368421052632
529,466,9,70.3125,21.438117664609553,0.9182958340544899,0.00154320987654321,1.052341140030171,1.0054535300173075,0.0,0.0,0.0,0.0,0.33333333333333304
532,469,32,250.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,471,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,472,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
536,473,4,31.25,11.58210487593933,0.4854607607459134,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.8947368421052632
538,475,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,476,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,477,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,478,6,46.875,14.741612816742855,1.2344977967946407,0.019097222222222227,0.7236272269866326,0.8637043724883855,0.0,0.0,0.0,0.0,0.5
542,479,4,31.25,22.178042346202343,0.9182958340544897,0.0029296875,1.0886621079036347,0.9742785792574934,0.0,0.0,0.0,0.0,0.33333333333333326
