dataset,vocab_size,seed,fold,accuracy,balanced_accuracy,kappa
physionet_mi,2048,789,3,0.3258666666666667,0.3259287636907574,0.10120438612259564
physionet_mi,2048,789,4,0.324165915238954,0.32445060995296354,0.09909372369926339
physionet_mi,2048,2024,0,0.31917098445595854,0.3191099052622137,0.09206450587360893
physionet_mi,2048,2024,1,0.304930332261522,0.30475334070809207,0.07293727565135077
physionet_mi,2048,2024,2,0.34135901551631886,0.3415187547031176,0.12189790800216938
physionet_mi,2048,2024,3,0.32222222222222224,0.32259318009626964,0.09669213569336288
physionet_mi,2048,2024,4,0.3049107142857143,0.304914508474271,0.07322610680986219
sleep_edf,2048,42,0,0.6629660468128411,0.5509009022927264,0.41312661574036214
sleep_edf,2048,42,1,0.741051097549868,0.5913995144553978,0.506514545224034
sleep_edf,2048,42,2,0.7681673487949068,0.613966838847076,0.5681851493558727
sleep_edf,2048,42,3,0.6871336868545911,0.5991482448100897,0.4971381200599603
sleep_edf,2048,42,4,0.8081411126187246,0.6547640046731311,0.6257072565620718
sleep_edf,2048,123,0,0.6801075268817204,0.595884107239849,0.4438881458589906
sleep_edf,2048,123,1,0.7004970628106643,0.5881148029657937,0.5012042296167848
sleep_edf,2048,123,2,0.7351998491704375,0.5692447082107603,0.5355522863167392
sleep_edf,2048,123,3,0.5677472227281005,0.5377467245991999,0.32567051582675777
sleep_edf,2048,123,4,0.8010588657573582,0.6408569436462705,0.6035893718734
sleep_edf,2048,456,0,0.7714232833610957,0.62319394166375,0.5901252237234804
sleep_edf,2048,456,1,0.8181165919282511,0.6363027483937014,0.6253862362633584
sleep_edf,2048,456,2,0.7174923984975854,0.5950805637638968,0.5165984553922323
sleep_edf,2048,456,3,0.6639382383034136,0.6007136082515173,0.44519190570221645
sleep_edf,2048,456,4,0.6691905028977378,0.5783096465340026,0.42487295934395186
sleep_edf,2048,789,0,0.8070271254323684,0.6349666991760584,0.622782063104341
sleep_edf,2048,789,1,0.8044739022369511,0.6814204796676504,0.6041412910666095
sleep_edf,2048,789,2,0.5983174632522881,0.5341131995195468,0.37397150382027
sleep_edf,2048,789,3,0.7157006603081438,0.5674970890322268,0.49121314486657497
sleep_edf,2048,789,4,0.7243351184532995,0.4400902228007837,0.5275448274685679
sleep_edf,2048,2024,0,0.5853161744282936,0.5294102967559656,0.36583753658718143
sleep_edf,2048,2024,1,0.7388858144253828,0.6034239254496728,0.515794093722249
sleep_edf,2048,2024,2,0.6684409960303139,0.5847997010824093,0.42678720219476796
sleep_edf,2048,2024,3,0.7892506087113356,0.6208365544950338,0.607248719018959
sleep_edf,2048,2024,4,0.7941695292916163,0.6402529118526423,0.6104551997346972
mental_arithmetic,2048,42,0,0.638095238095238,0.638095238095238,0.2761904761904762
mental_arithmetic,2048,42,1,0.5904761904761905,0.5904761904761904,0.18095238095238098
mental_arithmetic,2048,42,2,0.6333333333333333,0.6333333333333333,0.2666666666666667
mental_arithmetic,2048,42,3,0.5285714285714286,0.5285714285714286,0.05714285714285716
mental_arithmetic,2048,42,4,0.6625,0.6625,0.32499999999999996
mental_arithmetic,2048,123,0,0.5904761904761905,0.5904761904761905,0.18095238095238098
mental_arithmetic,2048,123,1,0.5952380952380952,0.5952380952380952,0.19047619047619047
mental_arithmetic,2048,123,2,0.5476190476190477,0.5476190476190477,0.09523809523809523
mental_arithmetic,2048,123,3,0.580952380952381,0.5809523809523809,0.16190476190476188
mental_arithmetic,2048,123,4,0.6166666666666667,0.6166666666666667,0.23333333333333328
mental_arithmetic,2048,456,0,0.5142857142857142,0.5142857142857142,0.02857142857142858
mental_arithmetic,2048,456,1,0.6142857142857143,0.6142857142857143,0.22857142857142854
mental_arithmetic,2048,456,2,0.5142857142857142,0.5142857142857142,0.02857142857142858
mental_arithmetic,2048,456,3,0.6952380952380952,0.6952380952380952,0.3904761904761904
mental_arithmetic,2048,456,4,0.5958333333333333,0.5958333333333333,0.19166666666666665
mental_arithmetic,2048,789,0,0.6,0.6,0.19999999999999996
mental_arithmetic,2048,789,1,0.5523809523809524,0.5523809523809524,0.10476190476190472
mental_arithmetic,2048,789,2,0.6047619047619047,0.6047619047619047,0.20952380952380956
