dataset,classifier,vocab_size,n_codes,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
mental_arithmetic,Spatial_BPE_RF,1024,128,123,5fold-subject,2,0.5571428571428572,0.5571428571428572,0.5570524596856501,0.11428571428571432
mental_arithmetic,Spatial_BPE_RF,1024,128,123,5fold-subject,3,0.7,0.7,0.699447965651196,0.4
mental_arithmetic,Spatial_BPE_RF,1024,128,123,5fold-subject,4,0.6476190476190476,0.6476190476190475,0.6468181818181818,0.2952380952380952
mental_arithmetic,Spatial_BPE_LogReg,1024,128,456,5fold-subject,0,0.5916666666666667,0.5916666666666667,0.5893567986591242,0.18333333333333335
mental_arithmetic,Spatial_BPE_LogReg,1024,128,456,5fold-subject,1,0.5476190476190477,0.5476190476190477,0.5476087893149504,0.09523809523809523
mental_arithmetic,Spatial_BPE_LogReg,1024,128,456,5fold-subject,2,0.5285714285714286,0.5285714285714286,0.5285607383387378,0.05714285714285716
mental_arithmetic,Spatial_BPE_LogReg,1024,128,456,5fold-subject,3,0.6095238095238096,0.6095238095238096,0.6092047930283224,0.21904761904761905
mental_arithmetic,Spatial_BPE_LogReg,1024,128,456,5fold-subject,4,0.6285714285714286,0.6285714285714286,0.6273546273546273,0.2571428571428571
mental_arithmetic,Spatial_BPE_RF,1024,128,456,5fold-subject,0,0.5375,0.5375,0.5332130153668238,0.07499999999999996
mental_arithmetic,Spatial_BPE_RF,1024,128,456,5fold-subject,1,0.5523809523809524,0.5523809523809524,0.5372280570142536,0.10476190476190472
mental_arithmetic,Spatial_BPE_RF,1024,128,456,5fold-subject,2,0.5047619047619047,0.5047619047619047,0.5043572984749455,0.00952380952380949
mental_arithmetic,Spatial_BPE_RF,1024,128,456,5fold-subject,3,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.48571428571428577
mental_arithmetic,Spatial_BPE_RF,1024,128,456,5fold-subject,4,0.6095238095238096,0.6095238095238096,0.6066337719298245,0.21904761904761905
mental_arithmetic,Spatial_BPE_LogReg,1024,128,789,5fold-subject,0,0.5083333333333333,0.5083333333333333,0.5080258494892642,0.01666666666666672
mental_arithmetic,Spatial_BPE_LogReg,1024,128,789,5fold-subject,1,0.5476190476190477,0.5476190476190477,0.5471158430001589,0.09523809523809523
mental_arithmetic,Spatial_BPE_LogReg,1024,128,789,5fold-subject,2,0.4714285714285714,0.4714285714285714,0.47112875779920593,-0.05714285714285716
mental_arithmetic,Spatial_BPE_LogReg,1024,128,789,5fold-subject,3,0.6285714285714286,0.6285714285714286,0.6277272727272727,0.2571428571428571
mental_arithmetic,Spatial_BPE_LogReg,1024,128,789,5fold-subject,4,0.580952380952381,0.5809523809523809,0.5809143686502176,0.16190476190476188
mental_arithmetic,Spatial_BPE_RF,1024,128,789,5fold-subject,0,0.5208333333333334,0.5208333333333333,0.5206252713851498,0.04166666666666663
mental_arithmetic,Spatial_BPE_RF,1024,128,789,5fold-subject,1,0.580952380952381,0.580952380952381,0.5744288872512896,0.16190476190476188
mental_arithmetic,Spatial_BPE_RF,1024,128,789,5fold-subject,2,0.5238095238095238,0.5238095238095238,0.5234204793028323,0.04761904761904767
mental_arithmetic,Spatial_BPE_RF,1024,128,789,5fold-subject,3,0.7380952380952381,0.7380952380952381,0.7367521367521368,0.47619047619047616
mental_arithmetic,Spatial_BPE_RF,1024,128,789,5fold-subject,4,0.6523809523809524,0.6523809523809523,0.6500878774736938,0.3047619047619048
mental_arithmetic,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,0,0.55,0.55,0.5461867077526437,0.09999999999999998
mental_arithmetic,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,1,0.5380952380952381,0.5380952380952381,0.5342829054162189,0.07619047619047614
mental_arithmetic,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,2,0.5142857142857142,0.5142857142857142,0.5138888888888888,0.02857142857142858
mental_arithmetic,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,3,0.6714285714285714,0.6714285714285715,0.6713615023474178,0.34285714285714286
mental_arithmetic,Spatial_BPE_LogReg,1024,128,2024,5fold-subject,4,0.5142857142857142,0.5142857142857142,0.5131818181818182,0.02857142857142858
mental_arithmetic,Spatial_BPE_RF,1024,128,2024,5fold-subject,0,0.6,0.6,0.5936507936507937,0.19999999999999996
mental_arithmetic,Spatial_BPE_RF,1024,128,2024,5fold-subject,1,0.5619047619047619,0.5619047619047619,0.5570432868672046,0.12380952380952381
