dataset,approach,seed,fold,accuracy,macro_f1,kappa,compression_ratio,mean_token_len_ms
epfl_p300,multiband_alpha_beta,2024,4,0.5850694444444444,0.4819344665765993,0.023160762942779245,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,2024,5,0.5671296296296297,0.4646627303632135,-0.005376344086021501,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,2024,6,0.5821759259259259,0.47034999923584664,-0.004638218923933124,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,2024,7,0.5873842592592593,0.47082266908850073,-0.008011310084825807,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,2024,8,0.6082175925925926,0.5082868074764737,0.07090576395242465,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,2024,9,0.5850694444444444,0.4940260016049365,0.05575065847234406,3.405416666666667,1.1891276041666667
ssvep_nakanishi,raw,42,0,0.09444444444444444,0.07412971788329914,0.012121212121212088,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,42,1,0.07777777777777778,0.08250810657535648,-0.0060606060606061,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,42,2,0.07222222222222222,0.06612271898149182,-0.0121212121212122,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,42,3,0.11666666666666667,0.11423225060469466,0.036363636363636376,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,42,4,0.10555555555555556,0.09345786942985586,0.024242424242424288,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,42,5,0.05555555555555555,0.04722914202080869,-0.030303030303030276,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,42,6,0.08888888888888889,0.0788281767830666,0.0060606060606061,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,42,7,0.05555555555555555,0.04971551086984224,-0.030303030303030276,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,42,8,0.07777777777777778,0.06944049616332808,-0.006060606060605878,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,123,0,0.1,0.08041880037316142,0.018181818181818188,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,123,1,0.06666666666666667,0.07235279816801556,-0.018181818181818077,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,123,2,0.044444444444444446,0.04262896825396825,-0.042424242424242475,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,123,3,0.10555555555555556,0.10120038861974345,0.024242424242424288,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,123,4,0.1111111111111111,0.09390809448006153,0.030303030303030276,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,123,5,0.05,0.041779556809890483,-0.036363636363636376,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,123,6,0.1,0.09129519235091449,0.018181818181818188,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,123,7,0.05555555555555555,0.050442769230434226,-0.030303030303030276,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,123,8,0.1,0.08687702197132845,0.018181818181818188,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,456,0,0.10555555555555556,0.09076425736736976,0.024242424242424288,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,456,1,0.07222222222222222,0.07756868669912148,-0.012121212121211977,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,456,2,0.08333333333333333,0.0710184709081768,0.0,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,456,3,0.1111111111111111,0.11111552862840048,0.030303030303030276,1.4233147449763566,5.348347843227796
ssvep_nakanishi,raw,456,4,0.1,0.08321245338521761,0.018181818181818188,1.4233147449763566,5.348347843227796
