ablation,dataset,condition,n_windows,window_sec,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A13,bci_iv_2a,nwin_2,2,2.0,256,64,adaptive,2024,0.2586805555555556,0.011602973180418657,0.2465277777777778,0.2743055555555556,0.2586805555555556,0.011574074074074106,2026-03-22T02:45:24.261125
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,42,0.29976851851851855,0.019245705032773033,0.2725694444444444,0.3142361111111111,0.29976851851851855,0.06635802469135803,2026-03-22T02:47:12.517441
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,123,0.2991898148148148,0.02006358312888857,0.2708333333333333,0.3142361111111111,0.2991898148148148,0.06558641975308643,2026-03-22T02:47:12.518445
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,456,0.2991898148148148,0.02006358312888857,0.2708333333333333,0.3142361111111111,0.2991898148148148,0.06558641975308643,2026-03-22T02:47:12.518944
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,789,0.2980324074074074,0.01934983043669039,0.2835648148148148,0.3142361111111111,0.2980324074074074,0.06404320987654322,2026-03-22T02:47:12.519944
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,2024,0.29976851851851855,0.019245705032773033,0.2725694444444444,0.3142361111111111,0.29976851851851855,0.06635802469135803,2026-03-22T02:47:12.520444
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,42,0.29976851851851855,0.019245705032773033,0.2725694444444444,0.3142361111111111,0.29976851851851855,0.06635802469135803,2026-03-22T02:47:14.067086
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,123,0.29976851851851855,0.019245705032773033,0.2725694444444444,0.3142361111111111,0.29976851851851855,0.06635802469135803,2026-03-22T02:47:14.068090
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,456,0.2991898148148148,0.018823444406586346,0.2725694444444444,0.3125,0.2991898148148148,0.06558641975308643,2026-03-22T02:47:14.069090
A13,bci_iv_2a,nwin_5,5,0.8,256,64,adaptive,789,0.29976851851851855,0.019245705032773033,0.2725694444444444,0.3142361111111111,0.29976851851851855,0.06635802469135803,2026-03-22T02:47:14.069589
