dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
bci_iv_2a,CSP_BPE_Seq_CNN,1024,789,LOSO,6,0.3211805555555556,0.3211805555555556,0.3136994852124042,0.09490740740740744
bci_iv_2a,CSP_BPE_Seq_CNN,1024,789,LOSO,7,0.3472222222222222,0.3472222222222222,0.3283864102962061,0.12962962962962965
bci_iv_2a,CSP_BPE_Seq_CNN,1024,789,LOSO,8,0.3159722222222222,0.3159722222222222,0.3042870947339239,0.08796296296296291
bci_iv_2a,CSP_BPE_Seq_CNN,1024,2024,LOSO,0,0.3975694444444444,0.3975694444444444,0.37731791591551117,0.1967592592592593
bci_iv_2a,CSP_BPE_Seq_CNN,1024,2024,LOSO,1,0.2760416666666667,0.27604166666666663,0.2584605761436715,0.03472222222222221
bci_iv_2a,CSP_BPE_Seq_CNN,1024,2024,LOSO,2,0.3420138888888889,0.3420138888888889,0.325461395388543,0.12268518518518523
bci_iv_2a,CSP_BPE_Seq_CNN,1024,2024,LOSO,3,0.2864583333333333,0.2864583333333333,0.28197749343687356,0.04861111111111116
bci_iv_2a,CSP_BPE_Seq_CNN,1024,2024,LOSO,4,0.2777777777777778,0.2777777777777778,0.23101019517133992,0.03703703703703709
bci_iv_2a,CSP_BPE_Seq_CNN,1024,2024,LOSO,5,0.25,0.25,0.2355864963391845,0.0
bci_iv_2a,CSP_BPE_Seq_CNN,1024,2024,LOSO,6,0.328125,0.328125,0.3163118354704946,0.10416666666666663
bci_iv_2a,CSP_BPE_Seq_CNN,1024,2024,LOSO,7,0.3246527777777778,0.3246527777777778,0.3267995319889486,0.09953703703703709
bci_iv_2a,CSP_BPE_Seq_CNN,1024,2024,LOSO,8,0.2760416666666667,0.27604166666666663,0.26851637084641267,0.03472222222222221
physionet_mi,CSP_BPE_LogReg,1024,42,5fold-subject,0,0.254326166754064,0.2543197620949512,0.2542697799291398,0.005805857918528723
physionet_mi,CSP_BPE_LogReg,1024,42,5fold-subject,1,0.2651091924834942,0.2651624862623986,0.26506700733315464,0.02019992558157435
physionet_mi,CSP_BPE_LogReg,1024,42,5fold-subject,2,0.23255813953488372,0.23272362660713664,0.23097250433631789,-0.023092990053938278
physionet_mi,CSP_BPE_LogReg,1024,42,5fold-subject,3,0.24276282376841035,0.24281478335579754,0.2420360727433447,-0.009557126630896251
physionet_mi,CSP_BPE_LogReg,1024,42,5fold-subject,4,0.24797160243407707,0.24782961959490116,0.24793554341396148,-0.002888837373270503
physionet_mi,CSP_BPE_LogReg,1024,123,5fold-subject,0,0.25380178290508654,0.25379672636101464,0.253720946518899,0.005113636155328671
physionet_mi,CSP_BPE_LogReg,1024,123,5fold-subject,1,0.2646013204672423,0.26464093166547153,0.26459130798658553,0.019508638714647364
physionet_mi,CSP_BPE_LogReg,1024,123,5fold-subject,2,0.2320525783619818,0.23221347229989986,0.23059321690113577,-0.023761383050422413
physionet_mi,CSP_BPE_LogReg,1024,123,5fold-subject,3,0.24225495175215844,0.2423138315932628,0.2416108021827516,-0.01024152276883572
physionet_mi,CSP_BPE_LogReg,1024,123,5fold-subject,4,0.24695740365111563,0.24678041762248443,0.24678364243664846,-0.0042523713829123455
physionet_mi,CSP_BPE_LogReg,1024,456,5fold-subject,0,0.2517042475091767,0.25172996044568224,0.25154770999100146,0.002346308541772979
physionet_mi,CSP_BPE_LogReg,1024,456,5fold-subject,1,0.26358557643473846,0.26362776380304864,0.26357579195496383,0.018157407760856836
physionet_mi,CSP_BPE_LogReg,1024,456,5fold-subject,2,0.23255813953488372,0.23272362660713664,0.23096512846494144,-0.023090898435210727
physionet_mi,CSP_BPE_LogReg,1024,456,5fold-subject,3,0.24327069578466226,0.24331679138792606,0.24256122969105676,-0.00889945462942543
physionet_mi,CSP_BPE_LogReg,1024,456,5fold-subject,4,0.24594320486815416,0.24573921577806973,0.24571628769565743,-0.00566559802239075
physionet_mi,CSP_BPE_LogReg,1024,789,5fold-subject,0,0.2548505506030414,0.25484835345095197,0.2547203406362035,0.006516665432380275
physionet_mi,CSP_BPE_LogReg,1024,789,5fold-subject,1,0.26206196038598273,0.2620970883240822,0.26204734671091545,0.01612736269680759
physionet_mi,CSP_BPE_LogReg,1024,789,5fold-subject,2,0.23255813953488372,0.23272362660713664,0.23098887463518697,-0.023092292846745632
physionet_mi,CSP_BPE_LogReg,1024,789,5fold-subject,3,0.24581005586592178,0.24589592176091493,0.2449092016497471,-0.005465478662660006
physionet_mi,CSP_BPE_LogReg,1024,789,5fold-subject,4,0.24746450304259635,0.247303216110717,0.24740851323118762,-0.003569224016131356
