ablation,dataset,condition,classifier,vocab_size,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A7,sleep_edf,Random_Merges,Seq_CNN,4096,2024,0.8463890460090345,0.04705697768610535,0.8019697617435092,0.8769725800036702,0.5317503457892452,0.6605688532522486,2026-03-12T09:58:27.620506
A7,sleep_edf,Raw_Bins,Hist_LogReg,64,42,0.5610765035573972,0.07369862922415969,0.49445228463653024,0.6163236224252631,0.40498667116108356,0.260734381620152,2026-03-12T10:00:07.544195
A7,sleep_edf,Raw_Bins,Hist_LogReg,64,123,0.5733694898295212,0.08377910649879916,0.5006122871154423,0.6408300171078195,0.4052822024135875,0.2691293079187694,2026-03-12T10:00:07.553196
A7,sleep_edf,Raw_Bins,Hist_LogReg,64,456,0.6016295336429609,0.04931295638989896,0.5566626519567279,0.6434986091828337,0.40205916588950935,0.2982227053286991,2026-03-12T10:00:07.554697
A7,sleep_edf,Raw_Bins,Hist_LogReg,64,789,0.5330214956817804,0.09274053882886663,0.4518732366685848,0.614169754694976,0.36980168114767853,0.24430178308436803,2026-03-12T10:00:07.556197
A7,sleep_edf,Raw_Bins,Hist_LogReg,64,2024,0.543057200172159,0.09436263603204718,0.4647932343665665,0.6234668066908373,0.3889872429916714,0.2509203317670794,2026-03-12T10:00:07.557696
A7,sleep_edf,Raw_Bins,Seq_CNN,64,42,0.8667308395344449,0.025138422639478263,0.844817985227279,0.8871291100403914,0.5575303461066441,0.6876344942209602,2026-03-12T10:01:46.082664
A7,sleep_edf,Raw_Bins,Seq_CNN,64,123,0.8645576945780841,0.02384435785295729,0.843460248672705,0.8851146584255796,0.5459326746654429,0.6720109896969156,2026-03-12T10:02:35.359905
A7,sleep_edf,Raw_Bins,Seq_CNN,64,456,0.8699763762883161,0.01760130268581487,0.8551612192748115,0.8834192573207532,0.5457965245290161,0.6988249328011472,2026-03-12T10:03:33.213370
A7,sleep_edf,Raw_Bins,Seq_CNN,64,789,0.8436738190741824,0.04199156499343521,0.8049225798067372,0.8740774944768475,0.5247301825655408,0.6474164776430779,2026-03-12T10:04:27.805361
A7,sleep_edf,Raw_Bins,Seq_CNN,64,2024,0.8463628892739369,0.04888650109844242,0.7955601854661035,0.8795626936397685,0.5356542187715841,0.6622518539013933,2026-03-12T10:05:23.141087
A7,bci_iv_2a,BPE,Hist_LogReg,1024,42,0.25752314814814814,0.01800503378021302,0.24479166666666666,0.2829861111111111,0.25752314814814814,0.01003086419753089,2026-03-21T22:47:59.643971
A7,bci_iv_2a,BPE,Hist_LogReg,1024,123,0.26273148148148145,0.018005033780213005,0.25,0.2881944444444444,0.26273148148148145,0.01697530864197531,2026-03-21T22:47:59.644973
A7,bci_iv_2a,BPE,Hist_LogReg,1024,456,0.25983796296296297,0.016368212527466373,0.24826388888888892,0.2829861111111111,0.25983796296296297,0.01311728395061725,2026-03-21T22:47:59.645976
A7,bci_iv_2a,BPE,Hist_LogReg,1024,789,0.2586805555555556,0.017244981974249233,0.24479166666666666,0.2829861111111111,0.2586805555555556,0.01157407407407407,2026-03-21T22:47:59.646977
A7,bci_iv_2a,BPE,Hist_LogReg,1024,2024,0.25752314814814814,0.01800503378021302,0.24479166666666666,0.2829861111111111,0.25752314814814814,0.01003086419753089,2026-03-21T22:47:59.647476
A7,bci_iv_2a,BPE,Hist_LogReg,1024,42,0.2604166666666667,0.01718662315383969,0.24826388888888892,0.2847222222222222,0.2604166666666667,0.01388888888888884,2026-03-21T22:47:59.686993
A7,bci_iv_2a,BPE,Hist_LogReg,1024,123,0.26273148148148145,0.02046026565933298,0.24826388888888892,0.2916666666666667,0.26273148148148145,0.016975308641975273,2026-03-21T22:47:59.688496
A7,bci_iv_2a,BPE,Hist_LogReg,1024,456,0.25983796296296297,0.019035745605785324,0.24305555555555555,0.2864583333333333,0.25983796296296297,0.013117283950617287,2026-03-21T22:47:59.688995
A7,bci_iv_2a,BPE,Hist_LogReg,1024,789,0.2604166666666667,0.016347739458131408,0.24479166666666666,0.2829861111111111,0.2604166666666667,0.013888888888888914,2026-03-21T22:47:59.689995
A7,bci_iv_2a,BPE,Hist_LogReg,1024,2024,0.25925925925925924,0.01691161944004914,0.24479166666666666,0.2829861111111111,0.25925925925925924,0.012345679012345697,2026-03-21T22:47:59.690496
A7,bci_iv_2a,BPE,Seq_CNN,1024,42,0.24710648148148148,0.004092053131866593,0.24131944444444445,0.25,0.24710648148148148,-0.0038580246913580605,2026-03-21T22:48:59.934147
A7,bci_iv_2a,BPE,Seq_CNN,1024,123,0.2517361111111111,0.0051109727235693625,0.2465277777777778,0.2586805555555556,0.2517361111111111,0.0023148148148148437,2026-03-21T22:49:01.207155
A7,bci_iv_2a,BPE,Seq_CNN,1024,456,0.24074074074074073,0.007807139793537056,0.2309027777777778,0.25,0.24074074074074073,-0.012345679012345734,2026-03-21T22:49:02.119671
A7,bci_iv_2a,BPE,Seq_CNN,1024,789,0.2505787037037037,0.0008184106263733161,0.25,0.2517361111111111,0.2505787037037037,0.0007716049382715898,2026-03-21T22:49:03.969670
A7,bci_iv_2a,BPE,Seq_CNN,1024,2024,0.23842592592592593,0.013985006913882608,0.21875,0.25,0.23842592592592593,-0.015432098765432093,2026-03-21T22:49:05.409678
A7,bci_iv_2a,BPE,Seq_CNN,1024,42,0.2505787037037037,0.0008184106263733161,0.25,0.2517361111111111,0.2505787037037037,0.0007716049382715898,2026-03-21T22:49:07.254692
A7,bci_iv_2a,BPE,Seq_CNN,1024,123,0.2366898148148148,0.012862332622044488,0.21875,0.24826388888888892,0.2366898148148148,-0.017746913580246975,2026-03-21T22:49:08.746693
A7,bci_iv_2a,BPE,Seq_CNN,1024,456,0.24305555555555555,0.009922701504329992,0.2309027777777778,0.2552083333333333,0.24305555555555558,-0.0092592592592593,2026-03-21T22:49:10.018679
A7,bci_iv_2a,BPE,Seq_CNN,1024,789,0.2476851851851852,0.005366677370078526,0.24305555555555555,0.2552083333333333,0.2476851851851852,-0.0030864197530864335,2026-03-21T22:49:11.051688
A7,bci_iv_2a,BPE,Seq_CNN,1024,2024,0.26273148148148145,0.02046026565933298,0.24826388888888892,0.2916666666666667,0.26273148148148145,0.016975308641975273,2026-03-21T22:49:12.155176
A7,bci_iv_2a,Random_Merges,Hist_LogReg,1024,42,0.2719907407407407,0.012783982658781553,0.2569444444444444,0.2881944444444444,0.2719907407407407,0.029320987654321007,2026-03-21T22:49:48.487242
A7,bci_iv_2a,Random_Merges,Hist_LogReg,1024,123,0.2708333333333333,0.013522362784198981,0.2552083333333333,0.2881944444444444,0.2708333333333333,0.027777777777777752,2026-03-21T22:49:48.488746
A7,bci_iv_2a,Random_Merges,Hist_LogReg,1024,456,0.27314814814814814,0.012055941351851633,0.2586805555555556,0.2881944444444444,0.27314814814814814,0.030864197530864185,2026-03-21T22:49:48.489246
A7,bci_iv_2a,Random_Merges,Hist_LogReg,1024,789,0.2708333333333333,0.01275775907699572,0.2552083333333333,0.2864583333333333,0.2708333333333333,0.02777777777777779,2026-03-21T22:49:48.490246
A7,bci_iv_2a,Random_Merges,Hist_LogReg,1024,2024,0.27141203703703703,0.01362106747215257,0.2534722222222222,0.2864583333333333,0.27141203703703703,0.028549382716049416,2026-03-21T22:49:48.491246
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,42,0.26736111111111116,0.009820927516479817,0.2604166666666667,0.28125,0.2673611111111111,0.023148148148148102,2026-03-21T22:50:14.803239
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,123,0.2505787037037037,0.0008184106263733161,0.25,0.2517361111111111,0.2505787037037037,0.0007716049382715898,2026-03-21T22:50:15.941227
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,456,0.265625,0.028456691789685767,0.24131944444444445,0.3055555555555556,0.265625,0.020833333333333297,2026-03-21T22:50:17.132483
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,789,0.25,0.00850517271799715,0.23958333333333334,0.2604166666666667,0.25,0.0,2026-03-21T22:50:19.101499
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,2024,0.2523148148148148,0.010639338142853146,0.24479166666666666,0.2673611111111111,0.2523148148148148,0.0030864197530864335,2026-03-21T22:50:21.165501
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,42,0.25925925925925924,0.013094570021973107,0.25,0.2777777777777778,0.25925925925925924,0.012345679012345697,2026-03-21T22:50:21.284010
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,123,0.2511574074074074,0.010254655756174395,0.24305555555555555,0.265625,0.25115740740740744,0.0015432098765432167,2026-03-21T22:50:22.501996
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,456,0.24016203703703706,0.010639338142853142,0.22743055555555555,0.2534722222222222,0.24016203703703706,-0.01311728395061725,2026-03-21T22:50:23.455508
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,789,0.24247685185185186,0.005901642955547206,0.234375,0.24826388888888892,0.24247685185185186,-0.010030864197530853,2026-03-21T22:50:24.556506
A7,bci_iv_2a,Random_Merges,Seq_CNN,1024,2024,0.2679398148148148,0.01286233262204449,0.25,0.2795138888888889,0.2679398148148148,0.023919753086419766,2026-03-21T22:50:25.480516
A7,sleep_edf,BPE,Hist_LogReg,1024,42,0.5446327246607147,0.19801014320038848,0.2664150943396226,0.711277658815132,0.5635685805186904,0.35225158968920417,2026-03-21T23:14:10.941711
A7,sleep_edf,BPE,Hist_LogReg,1024,123,0.5435426085209863,0.19835431563605835,0.26528301886792455,0.7134189864382584,0.5653230278187651,0.35255535645592606,2026-03-21T23:14:10.943210
A7,sleep_edf,BPE,Hist_LogReg,1024,456,0.5500181881279179,0.18297224833603537,0.2943396226415094,0.7123483226266952,0.56836735788333,0.35345601265409504,2026-03-21T23:14:10.943711
A7,sleep_edf,BPE,Hist_LogReg,1024,789,0.5518578877927214,0.1860410473004801,0.2909433962264151,0.7116345467523196,0.5687971062629412,0.35528261676790507,2026-03-21T23:14:10.944712
A7,sleep_edf,BPE,Hist_LogReg,1024,2024,0.5441196309216656,0.1905506696564415,0.27735849056603773,0.7105638829407566,0.5609761984966267,0.34837798726070135,2026-03-21T23:14:10.945711
A7,sleep_edf,BPE,Seq_CNN,1024,42,0.8317224680019365,0.01915177854017015,0.8062098501070664,0.8523537803138374,0.4245355105982445,0.6064577314964241,2026-03-21T23:14:32.969897
A7,sleep_edf,BPE,Seq_CNN,1024,123,0.816845278418283,0.01901646439849495,0.7908636688079943,0.8358490566037736,0.41473882259507966,0.5648942415127868,2026-03-21T23:14:40.807147
A7,sleep_edf,BPE,Seq_CNN,1024,456,0.8310771748815059,0.027942757167601053,0.7955032119914347,0.8637660485021398,0.427097609843003,0.6078320881920573,2026-03-21T23:14:47.311277
A7,sleep_edf,BPE,Seq_CNN,1024,789,0.8351754747534291,0.027605084423995632,0.8004996431120629,0.8680456490727532,0.4359446139360985,0.6162420666590528,2026-03-21T23:14:55.150330
A7,sleep_edf,BPE,Seq_CNN,1024,2024,0.8286903347802186,0.03343770759648116,0.7855103497501784,0.8669757489300999,0.42716022523692626,0.6014685460664232,2026-03-21T23:15:01.676577
