dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa,auc_roc
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,4,0.2795138888888889,0.2795138888888889,0.263556450418711,0.0393518518518518,0.5200335969650205
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,5,0.2447916666666666,0.2447916666666666,0.2044519969278033,-0.0069444444444444,0.5292124807098766
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,6,0.328125,0.328125,0.2736653490890779,0.1041666666666666,0.5576011123971193
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,7,0.296875,0.296875,0.2495458776246189,0.0625,0.5588831018518519
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,8,0.3472222222222222,0.3472222222222222,0.301675157437285,0.1296296296296296,0.5617062917952675
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,0,0.3159722222222222,0.3159722222222222,0.2539706752618485,0.0879629629629629,0.6040380658436213
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,1,0.2708333333333333,0.2708333333333333,0.2272446312342968,0.0277777777777777,0.5281876929012346
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,2,0.3385416666666667,0.3385416666666666,0.2260181287052152,0.1180555555555555,0.6323342656893004
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,3,0.3211805555555556,0.3211805555555556,0.2540989099218725,0.0949074074074074,0.5833936149691358
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,4,0.3090277777777778,0.3090277777777778,0.2620886455268606,0.0787037037037037,0.5184220679012346
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,5,0.2725694444444444,0.2725694444444444,0.1826954706989435,0.0300925925925925,0.5020817258230452
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,6,0.2881944444444444,0.2881944444444444,0.2595536071138437,0.0509259259259259,0.5588911394032922
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,7,0.3159722222222222,0.3159722222222222,0.2223258366891907,0.0879629629629629,0.565381462191358
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,8,0.3524305555555556,0.3524305555555556,0.2982703774090725,0.136574074074074,0.5708228845164609
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,0,0.3159722222222222,0.3159722222222222,0.2647978955165378,0.0879629629629629,0.6089891975308641
